Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Nome Parâmetro;Unidade Medida;Média Horária;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa
A;CETESB;Dados Primários;03/06/2024;17:00;67;Sorocaba;O3 (Ozônio);µg/m3;44;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;03/06/2024;18:00;67;Sorocaba;O3 (Ozônio);µg/m3;21;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;03/06/2024;19:00;67;Sorocaba;O3 (Ozônio);µg/m3;4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;03/06/2024;20:00;67;Sorocaba;O3 (Ozônio);µg/m3;3;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;03/06/2024;21:00;67;Sorocaba;O3 (Ozônio);µg/m3;2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;03/06/2024;22:00;67;Sorocaba;O3 (Ozônio);µg/m3;2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;03/06/2024;23:00;67;Sorocaba;O3 (Ozônio);µg/m3;4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;03/06/2024;24:00;67;Sorocaba;O3 (Ozônio);µg/m3;28;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;01:00;67;Sorocaba;O3 (Ozônio);µg/m3;30;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;02:00;67;Sorocaba;O3 (Ozônio);µg/m3;29;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;03:00;67;Sorocaba;O3 (Ozônio);µg/m3;24;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;04:00;67;Sorocaba;O3 (Ozônio);µg/m3;29;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;05:00;67;Sorocaba;O3 (Ozônio);µg/m3;35;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;06:00;67;Sorocaba;O3 (Ozônio);µg/m3;25;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;07:00;67;Sorocaba;O3 (Ozônio);µg/m3;23;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;08:00;67;Sorocaba;O3 (Ozônio);µg/m3;22;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;09:00;67;Sorocaba;O3 (Ozônio);µg/m3;33;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;10:00;67;Sorocaba;O3 (Ozônio);µg/m3;36;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;11:00;67;Sorocaba;O3 (Ozônio);µg/m3;35;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;12:00;67;Sorocaba;O3 (Ozônio);µg/m3;35;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;13:00;67;Sorocaba;O3 (Ozônio);µg/m3;38;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;14:00;67;Sorocaba;O3 (Ozônio);µg/m3;41;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;15:00;67;Sorocaba;O3 (Ozônio);µg/m3;39;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;16:00;67;Sorocaba;O3 (Ozônio);µg/m3;34;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;17:00;67;Sorocaba;O3 (Ozônio);µg/m3;30;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;18:00;67;Sorocaba;O3 (Ozônio);µg/m3;27;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;19:00;67;Sorocaba;O3 (Ozônio);µg/m3;24;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;20:00;67;Sorocaba;O3 (Ozônio);µg/m3;28;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;21:00;67;Sorocaba;O3 (Ozônio);µg/m3;28;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;22:00;67;Sorocaba;O3 (Ozônio);µg/m3;25;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;23:00;67;Sorocaba;O3 (Ozônio);µg/m3;23;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;04/06/2024;24:00;67;Sorocaba;O3 (Ozônio);µg/m3;19;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;01:00;67;Sorocaba;O3 (Ozônio);µg/m3;21;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;02:00;67;Sorocaba;O3 (Ozônio);µg/m3;21;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;03:00;67;Sorocaba;O3 (Ozônio);µg/m3;22;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;04:00;67;Sorocaba;O3 (Ozônio);µg/m3;18;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;05:00;67;Sorocaba;O3 (Ozônio);µg/m3;12;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;06:00;67;Sorocaba;O3 (Ozônio);µg/m3;21;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;07:00;67;Sorocaba;O3 (Ozônio);µg/m3;16;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;08:00;67;Sorocaba;O3 (Ozônio);µg/m3;10;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;09:00;67;Sorocaba;O3 (Ozônio);µg/m3;17;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;10:00;67;Sorocaba;O3 (Ozônio);µg/m3;26;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;11:00;67;Sorocaba;O3 (Ozônio);µg/m3;36;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;12:00;67;Sorocaba;O3 (Ozônio);µg/m3;46;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;13:00;67;Sorocaba;O3 (Ozônio);µg/m3;58;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;14:00;67;Sorocaba;O3 (Ozônio);µg/m3;69;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;15:00;67;Sorocaba;O3 (Ozônio);µg/m3;70;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;16:00;67;Sorocaba;O3 (Ozônio);µg/m3;68;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;17:00;67;Sorocaba;O3 (Ozônio);µg/m3;69;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;18:00;67;Sorocaba;O3 (Ozônio);µg/m3;51;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;19:00;67;Sorocaba;O3 (Ozônio);µg/m3;20;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;20:00;67;Sorocaba;O3 (Ozônio);µg/m3;34;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;21:00;67;Sorocaba;O3 (Ozônio);µg/m3;27;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;22:00;67;Sorocaba;O3 (Ozônio);µg/m3;13;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;23:00;67;Sorocaba;O3 (Ozônio);µg/m3;2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;05/06/2024;24:00;67;Sorocaba;O3 (Ozônio);µg/m3;2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;06/06/2024;01:00;67;Sorocaba;O3 (Ozônio);µg/m3;2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;06/06/2024;02:00;67;Sorocaba;O3 (Ozônio);µg/m3;1;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;06/06/2024;03:00;67;Sorocaba;O3 (Ozônio);µg/m3;1;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;06/06/2024;04:00;67;Sorocaba;O3 (Ozônio);µg/m3;1;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;06/06/2024;05:00;67;Sorocaba;O3 (Ozônio);µg/m3;1;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;06/06/2024;06:00;67;Sorocaba;O3 (Ozônio);µg/m3;0;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;06/06/2024;07:00;67;Sorocaba;O3 (Ozônio);µg/m3;0;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;06/06/2024;08:00;67;Sorocaba;O3 (Ozônio);µg/m3;1;-;Sim;-;-;-;-;-
